I
1100 Generated by WorldEditor 1.7.21r1

1     23 1 0 ESNU Umea
1302 city Umeå
1302 country Sweden
1302 datum_lat 63.793055556
1302 datum_lon 20.28
1302 faa_code 
1302 iata_code UME
1302 icao_code ESNU
1302 region_code ES
1302 state Västerbottens län
1302 transition_alt 5000
1302 transition_level 
100 45.11 1 0 0.00 1 2 0 14  63.79854122  020.26930574    0   68 3 12 1 1 32  63.78307047  020.30031358   61   57 3 12 1 1
102 H1  63.79564171  020.27996698  48.52 18.60 18.70 15 0 0 0.00 0
110 1 0.00 0.0000 New Taxiway 4
111  63.78839784  020.29238691
112  63.78850041  020.29261783  63.78851153  020.29266459
111  63.78881367  020.29438585
111  63.78874062  020.29444412
111  63.78874512  020.29452818
111  63.78861967  020.29470728
111  63.78859518  020.29463218
111  63.78857735  020.29466632
111  63.78859931  020.29474471
111  63.78851348  020.29488037
111  63.78853540  020.29497020
111  63.78876477  020.29463813
111  63.78879097  020.29478538
111  63.78882993  020.29475146
111  63.78884070  020.29480236
111  63.78886453  020.29477863
111  63.78906266  020.29597016
111  63.78887488  020.29629683
111  63.78898403  020.29661727
111  63.78901876  020.29673365
111  63.78906794  020.29664585
111  63.78913448  020.29685925
111  63.78922495  020.29670785
112  63.78916272  020.29668570  63.78915104  020.29665771
111  63.78911705  020.29655817
111  63.78922204  020.29637074
112  63.79007074  020.29466372  63.79009742  020.29463351
111  63.79007074  020.29466372
112  63.79007074  020.29466372  63.79009742  020.29465941
112  63.79021957  020.29491599  63.79024817  020.29494836
111  63.79021957  020.29491599
112  63.79021957  020.29491599  63.79031680  020.29498937
111  63.79047887  020.29459841
111  63.79044659  020.29451797
112  63.79026310  020.29479606  63.79013203  020.29490997
111  63.79026310  020.29479606
112  63.79026310  020.29479606  63.79023397  020.29479157
111  63.79012471  020.29456460
112  63.79027850  020.29424834  63.79029306  020.29425133
111  63.79027850  020.29424834
112  63.79027850  020.29424834  63.79031753  020.29428095
112  63.79044659  020.29451797  63.79049453  020.29459836
111  63.79044659  020.29451797
112  63.79044659  020.29451797  63.79046251  020.29455837
111  63.79047887  020.29459841
112  63.79073389  020.29448229  63.79082656  020.29420652
111  63.79073389  020.29448229
112  63.79073389  020.29448229  63.79075044  020.29445082
111  63.79079834  020.29436259
111  63.79072277  020.29416413
111  63.79092641  020.29376758
111  63.79103673  020.29399637
111  63.79113166  020.29377966
111  63.79105571  020.29353475
111  63.79108836  020.29347116
111  63.79113778  020.29259849
111  63.79116473  020.29248225
111  63.79129925  020.29223362
111  63.79133905  020.29236415
111  63.79122238  020.29261900
111  63.79148730  020.29324990
111  63.79180711  020.29262832
111  63.79177650  020.29254236
111  63.79170877  020.29266562
111  63.79143788  020.29196634
111  63.79150105  020.29184742
111  63.79155720  020.29174173
111  63.79151126  020.29162704
111  63.79112218  020.29229889
111  63.79101375  020.29200364
111  63.79068569  020.29256305
111  63.79082295  020.29294532
111  63.79008912  020.29447536
112  63.79004992  020.29448793  63.79004264  020.29446538
111  63.78997794  020.29431065
111  63.79017943  020.29374690
111  63.79009104  020.29345104
111  63.78946566  020.29382948
111  63.78935102  020.29349385
111  63.78913755  020.29389215
111  63.78908814  020.29374000
111  63.78902686  020.29386083
111  63.78906442  020.29399508
111  63.78901303  020.29409800
111  63.78906244  020.29467975
112  63.78898885  020.29473512  63.78897690  020.29472575
112  63.78895644  020.29462283  63.78894909  020.29461242
111  63.78892564  020.29464062
111  63.78854598  020.29241507
113  63.78850915  020.29213526
112  63.79060917  020.29388407  63.79066279  020.29404294
111  63.79060917  020.29388407
112  63.79060917  020.29388407  63.79067404  020.29407741
111  63.79060714  020.29416882
112  63.79043850  020.29423002  63.79036304  020.29404567
111  63.79043850  020.29423002
112  63.79043850  020.29423002  63.79037363  020.29397373
114  63.79045890  020.29387793  63.79049253  020.29380809
111  63.79066015  020.29350408
111  63.79104791  020.29277892
111  63.79102847  020.29332279
112  63.79068260  020.29374931  63.79058000  020.29351999
111  63.79068260  020.29374931
114  63.79068260  020.29374931  63.79064289  020.29366987
111  63.78923872  020.29506836
111  63.78947232  020.29563874
111  63.78949073  020.29568368
112  63.78921793  020.29606623  63.78917218  020.29596696
111  63.78921793  020.29606623
112  63.78921793  020.29606623  63.78910831  020.29583099
111  63.78900707  020.29501439
112  63.78918479  020.29473391  63.78927058  020.29474470
111  63.78918479  020.29473391
114  63.78918479  020.29473391  63.78926105  020.29474254
111  63.78958055  020.29452204
111  63.78955135  020.29459107
111  63.78971095  020.29507521
111  63.78985051  020.29483288
111  63.78966320  020.29439113
111  63.78962598  020.29444158
112  63.78946703  020.29402303  63.78947255  020.29398557
111  63.78946703  020.29402303
112  63.78946703  020.29402303  63.78955695  020.29380197
111  63.78978644  020.29398441
111  63.78999233  020.29461217
111  63.78949073  020.29568368
111  63.78947232  020.29563874
111  63.78965604  020.29526478
111  63.78941035  020.29471782
112  63.78929642  020.29470850  63.78927849  020.29466583
111  63.78923602  020.29451583
112  63.78939196  020.29419582  63.78942120  020.29419082
111  63.78939196  020.29419582
114  63.78939196  020.29419582  63.78948794  020.29415211
111  63.79005930  020.29371767
111  63.79010738  020.29384079
111  63.79002095  020.29404038
113  63.78997287  020.29390559
110 1 0.00 0.0000 New Taxiway 3
111  63.78791512  020.29114505
111  63.78839784  020.29238691
111  63.78850915  020.29213526
111  63.78866944  020.29177285
111  63.78869311  020.29182204
111  63.78873161  020.29174534
111  63.78869156  020.29164229
111  63.78867212  020.29168103
113  63.78822431  020.29052899
110 1 0.00 0.0000 New Taxiway 2
111  63.79569224  020.28211259
112  63.79448787  020.28454823  63.79445201  020.28461568
111  63.79441186  020.28461955
111  63.79419850  020.28409707
112  63.79387215  020.28475586  63.79368046  020.28512664
111  63.79387215  020.28475586
112  63.79387215  020.28475586  63.79385055  020.28479763
112  63.79380530  020.28488403  63.79378237  020.28492760
111  63.79380530  020.28488403
112  63.79380530  020.28488403  63.79372023  020.28504571
112  63.79353046  020.28538534  63.79343419  020.28555288
111  63.79353046  020.28538534
112  63.79353046  020.28538534  63.79351957  020.28540429
112  63.79349770  020.28544198  63.79348676  020.28546078
111  63.79349770  020.28544198
112  63.79349770  020.28544198  63.79343946  020.28554202
112  63.79332191  020.28573205  63.79326337  020.28582431
111  63.79332191  020.28573205
112  63.79332191  020.28573205  63.79330731  020.28575507
112  63.79327821  020.28580001  63.79326368  020.28582229
111  63.79327821  020.28580001
112  63.79327821  020.28580001  63.79307803  020.28610697
112  63.79275530  020.28636355  63.79262360  020.28638811
111  63.79275530  020.28636355
112  63.79275530  020.28636355  63.79270424  020.28627404
112  63.79182588  020.28393332  63.79179002  020.28378094
111  63.79182588  020.28393332
112  63.79182588  020.28393332  63.79177678  020.28358734
111  63.79182677  020.28334088
111  63.79125223  020.28444426
112  63.79147690  020.28444252  63.79158556  020.28448137
111  63.79223915  020.28638479
112  63.79212303  020.28729734  63.79194118  020.28782545
111  63.79212303  020.28729734
112  63.79212303  020.28729734  63.79212027  020.28730140
111  63.79097884  020.29029790
111  63.79151126  020.29162704
111  63.79155720  020.29174173
111  63.79158724  020.29181671
111  63.79161491  020.29175993
111  63.79195817  020.29105543
111  63.79414429  020.28656866
111  63.79452411  020.28578912
111  63.79480760  020.28643104
111  63.79515939  020.28571949
111  63.79499886  020.28530185
111  63.79519355  020.28486101
111  63.79508090  020.28455339
111  63.79471525  020.28526823
111  63.79454802  020.28482234
111  63.79508441  020.28371071
111  63.79519256  020.28398625
111  63.79523774  020.28471813
111  63.79540504  020.28513136
111  63.79570317  020.28460543
111  63.79547092  020.28396760
111  63.79524856  020.28380721
111  63.79516455  020.28357222
113  63.79576735  020.28229163
111  63.79169580  020.29105618
111  63.79160932  020.29106550
111  63.79159834  020.29050918
113  63.79168894  020.29050297
111  63.79208150  020.28984719
111  63.79205817  020.28985652
111  63.79207464  020.29005232
111  63.79203346  020.29005853
111  63.79201973  020.28986895
111  63.79200189  020.28988449
111  63.79196071  020.28948356
113  63.79204032  020.28944938
111  63.79232994  020.28956748
111  63.79218033  020.28969801
111  63.79220504  020.28998083
111  63.79211033  020.29001191
111  63.79205954  020.28948045
113  63.79227504  020.28928155
111  63.79247819  020.28930019
111  63.79240544  020.28936235
111  63.79234779  020.28877183
113  63.79242191  020.28873765
111  63.79266898  020.28891791
111  63.79257701  020.28893345
111  63.79253172  020.28840820
113  63.79261956  020.28837090
111  63.79300527  020.28806942
111  63.79295997  020.28808496
111  63.79295311  020.28852319
111  63.79287212  020.28853873
111  63.79286938  020.28810050
111  63.79282820  020.28807874
111  63.79281996  020.28785807
113  63.79300801  020.28784253
111  63.79323251  020.28799714
111  63.79313560  020.28803422
111  63.79308558  020.28749074
113  63.79318450  020.28743949
111  63.79372314  020.28699091
111  63.79363667  020.28707483
111  63.79357764  020.28649983
113  63.79367647  020.28648429
111  63.79345323  020.28750413
111  63.79341590  020.28750953
111  63.79340875  020.28774156
111  63.79334203  020.28774516
111  63.79334812  020.28749416
111  63.79331740  020.28748434
111  63.79331414  020.28740767
113  63.79345164  020.28744118
110 1 0.00 0.0000 New Taxiway 1
111  63.79635599  020.28021647
112  63.79590759  020.28023496  63.79571409  020.27980755
111  63.79590759  020.28023496
112  63.79590759  020.28023496  63.79587009  020.28015118
112  63.79539966  020.27895746  63.79517150  020.27837373
111  63.79539966  020.27895746
112  63.79539966  020.27895746  63.79538160  020.27891126
112  63.79534586  020.27881963  63.79532809  020.27877403
111  63.79534586  020.27881963
112  63.79534586  020.27881963  63.79516583  020.27835776
112  63.79497920  020.27785365  63.79495239  020.27776643
111  63.79497920  020.27785365
112  63.79497920  020.27785365  63.79491629  020.27764902
111  63.79497005  020.27703513
111  63.79443588  020.27808677
112  63.79476988  020.27820852  63.79483622  020.27835357
112  63.79586215  020.28094398  63.79590790  020.28104327
111  63.79586215  020.28094398
112  63.79586215  020.28094398  63.79593840  020.28140592
111  63.79585562  020.28164092
111  63.79575747  020.28185745
111  63.79569224  020.28211259
111  63.79576735  020.28229163 3
111  63.79591080  020.28214935 3
112  63.79600078  020.28195282  63.79603318  020.28189238 3
111  63.79615476  020.28194250 3
111  63.79628758  020.28227906
111  63.79639256  020.28206449
111  63.79713908  020.28053875
113  63.79674298  020.27946448
110 1 0.00 0.0000 New Taxiway 19
111  63.78285970  020.30130800
111  63.78281552  020.30141104
112  63.78329408  020.30224871  63.78355487  020.30244031
111  63.78329408  020.30224871
111  63.78328466  020.30193960
114  63.78328466  020.30193960  63.78314511  020.30193960
110 2 0.00 0.0000 New Taxiway 29
111  63.79367647  020.28648429
111  63.79357764  020.28649983
111  63.79363667  020.28707483
113  63.79372314  020.28699091
110 2 0.00 0.0000 New Taxiway 28
111  63.79345164  020.28744118
111  63.79331414  020.28740767
111  63.79331740  020.28748434
111  63.79334812  020.28749416
111  63.79334203  020.28774516
111  63.79340875  020.28774156
111  63.79341590  020.28750953
113  63.79345323  020.28750413
110 2 0.00 0.0000 New Taxiway 27
111  63.79308558  020.28749074
111  63.79313560  020.28803422
111  63.79323251  020.28799714
113  63.79318450  020.28743949
110 2 0.00 0.0000 New Taxiway 26
111  63.79282820  020.28807874
111  63.79286938  020.28810050
111  63.79287212  020.28853873
111  63.79295311  020.28852319
111  63.79295997  020.28808496
111  63.79300527  020.28806942
111  63.79300801  020.28784253
113  63.79281996  020.28785807
110 2 0.00 0.0000 New Taxiway 25
111  63.79257701  020.28893345
111  63.79266898  020.28891791
111  63.79261956  020.28837090
113  63.79253172  020.28840820
110 2 0.00 0.0000 New Taxiway 24
111  63.79247819  020.28930019
111  63.79242191  020.28873765
111  63.79234779  020.28877183
113  63.79240544  020.28936235
110 2 0.00 0.0000 New Taxiway 23
111  63.79220504  020.28998083
111  63.79218033  020.28969801
111  63.79232994  020.28956748
111  63.79227504  020.28928155
111  63.79205954  020.28948045
113  63.79211033  020.29001191
110 2 0.00 0.0000 New Taxiway 22
111  63.79196071  020.28948356
111  63.79200189  020.28988449
111  63.79201973  020.28986895
111  63.79203346  020.29005853
111  63.79207464  020.29005232
111  63.79205817  020.28985652
111  63.79208150  020.28984719
113  63.79204032  020.28944938
110 2 0.00 0.0000 New Taxiway 21
111  63.79159834  020.29050918
111  63.79160932  020.29106550
111  63.79169580  020.29105618
113  63.79168894  020.29050297
110 2 0.00 0.0000 New Taxiway 3
111  63.78859518  020.29463218
111  63.78856665  020.29454672
