I
1130 Generated by WorldEditor 2.0.0r4

1    205 1 0 ENKB Kristiansund Kvernberget
1302 city Kristiansund N
1302 country Norway
1302 datum_lat 63.111944444
1302 datum_lon 7.826111111
1302 faa_code 
1302 iata_code KSU
1302 icao_code ENKB
1302 region_code EN
1302 state Møre og Romsdal
1302 transition_alt 7000
1302 transition_level 070
100 45.00 1 1 0.25 1 3 0 07  63.10913467  007.80675887   79    0 3 10 0 0 25  63.11594416  007.85168404   69    0 2 0 0 0
110 1 0.00 78.1100 New Taxiway 68
111  63.10934048  007.80640117
111  63.10942126  007.80568852
111  63.10946766  007.80538914
111  63.10948470  007.80522584
112  63.10951974  007.80530121  63.10952428  007.80544190
111  63.10951974  007.80530121
111  63.10954814  007.80542892
111  63.10961516  007.80545159
111  63.10947019  007.80459067
111  63.10923850  007.80468779
112  63.10919210  007.80456008  63.10917947  007.80441004
111  63.10919210  007.80456008
112  63.10919210  007.80456008  63.10917395  007.80434898
111  63.10916180  007.80430467
111  63.10908794  007.80393829
111  63.10888288  007.80315289
111  63.10884350  007.80316676
111  63.10904658  007.80391962
112  63.10913653  007.80439695  63.10914679  007.80451210
111  63.10913653  007.80439695
111  63.10920282  007.80548979
113  63.10929372  007.80643609
111  63.10925635  007.80577846
111  63.10920711  007.80498080
112  63.10926392  007.80479866  63.10932452  007.80478610
111  63.10926392  007.80479866
111  63.10936240  007.80478819
112  63.10942395  007.80491381  63.10943342  007.80501430
111  63.10942395  007.80491381
111  63.10943721  007.80505617
112  63.10941732  007.80542673  63.10939081  007.80559422
111  63.10941732  007.80542673
113  63.10930464  007.80622857
110 1 0.00 339.2200 New Taxiway 67
111  63.11281922  007.83285743
111  63.11244913  007.83316104
112  63.11244913  007.83316104  63.11243467  007.83316831
112  63.11240350  007.83313428  63.11238377  007.83314882
111  63.11240350  007.83313428
111  63.11232091  007.83319186
111  63.11233708  007.83330062
112  63.11233708  007.83330062  63.11235024  007.83336169
111  63.11238443  007.83333727
111  63.11244177  007.83330819
112  63.11244177  007.83330819  63.11246084  007.83329219
112  63.11246886  007.83321862  63.11248991  007.83319535
111  63.11246886  007.83321862
111  63.11280897  007.83293072
113  63.11283501  007.83294817
110 5 0.00 70.8500 New Taxiway 36
111  63.11531095  007.83744398
112  63.11531095  007.83744398  63.11555050  007.83798240
111  63.11567457  007.83790886
111  63.11597342  007.83764500
111  63.11614841  007.83777065
111  63.11632397  007.83782633
111  63.11640465  007.83858773
112  63.11640465  007.83858773  63.11645374  007.83904306
111  63.11635693  007.83920339
111  63.11570442  007.84012278
112  63.11570442  007.84012278  63.11552988  007.84037909
111  63.11552166  007.84068189
111  63.11543204  007.84202038
111  63.11533693  007.84307468
112  63.11533693  007.84307468  63.11531784  007.84324957
111  63.11536716  007.84355999
112  63.11554991  007.84451277  63.11565672  007.84520883
111  63.11554991  007.84451277
111  63.11581371  007.84640216
111  63.11600565  007.84770497
111  63.11632656  007.84965033
111  63.11642430  007.85030544
111  63.11633428  007.85041578
112  63.11633428  007.85041578  63.11643550  007.85072011
112  63.11657587  007.85179386  63.11660418  007.85240437
111  63.11657587  007.85179386
111  63.11668640  007.85401074
111  63.11669553  007.85449542
111  63.11665003  007.85449322
111  63.11667295  007.85528967
112  63.11666638  007.85552671  63.11665783  007.85559942
111  63.11666638  007.85552671
112  63.11666638  007.85552671  63.11663481  007.85573322
111  63.11664336  007.85577539
111  63.11664928  007.85583501
112  63.11662593  007.85593388  63.11659700  007.85595715
111  63.11662593  007.85593388
111  63.11649672  007.85603279
111  63.11651382  007.85611278
111  63.11681696  007.85585537
111  63.11680447  007.85579720
111  63.11669787  007.85587881
112  63.11669794  007.85562560  63.11671504  007.85548163
111  63.11671109  007.85532166
111  63.11669723  007.85458583
111  63.11673954  007.85457850
111  63.11673735  007.85410465
111  63.11660621  007.85125960
112  63.11660621  007.85125960  63.11659485  007.85102297
111  63.11656833  007.85083903
111  63.11604247  007.84763836
112  63.11585594  007.84640264  63.11576267  007.84572960
111  63.11585594  007.84640264
112  63.11585594  007.84640264  63.11578067  007.84577664
111  63.11542192  007.84336054
112  63.11540488  007.84293085  63.11542124  007.84276802
111  63.11540488  007.84293085
111  63.11544692  007.84253885
111  63.11555260  007.84181516
111  63.11562380  007.84093856
112  63.11591651  007.84002399  63.11613877  007.83976166
111  63.11591651  007.84002399
111  63.11648594  007.83932562
112  63.11648594  007.83932562  63.11667547  007.83908740
111  63.11659720  007.83874665
112  63.11652768  007.83851379  63.11650040  007.83836301
111  63.11647313  007.83805895
111  63.11652199  007.83757647
111  63.11649149  007.83651273
111  63.11655504  007.83557990
111  63.11651527  007.83556943
111  63.11650213  007.83526529
111  63.11623760  007.83547034
111  63.11629215  007.83588044
112  63.11616124  007.83629959  63.11600171  007.83641417
111  63.11616124  007.83629959
111  63.11566432  007.83666615
112  63.11556659  007.83651789  63.11554387  007.83637215
111  63.11556659  007.83651789
111  63.11517102  007.83416294
112  63.11499523  007.83469959  63.11489002  007.83490027
111  63.11499523  007.83469959
113  63.11489977  007.83481343
110 5 0.00 71.4500 New Taxiway 37
111  63.11596317  007.84990681
111  63.11605752  007.85003199
111  63.11630668  007.85157100
111  63.11567944  007.85204844
111  63.11565864  007.85192391
111  63.11537362  007.85214754
111  63.11612303  007.85469044
111  63.11639120  007.85448082
112  63.11639120  007.85448082  63.11641566  007.85446337
111  63.11645029  007.85446429
111  63.11665003  007.85449322
111  63.11664890  007.85444296
111  63.11658867  007.85437763
111  63.11658299  007.85420424
111  63.11662958  007.85413890
111  63.11664776  007.85401074
111  63.11654147  007.85177121
111  63.11615186  007.85007900
113  63.11590787  007.84957829
110 1 0.00 75.3600 New Taxiway 35
111  63.11465862  007.83320436
111  63.11455104  007.83326631
112  63.11457971  007.83341775  63.11458695  007.83343374
111  63.11457971  007.83341775
111  63.11462640  007.83350529
112  63.11474661  007.83382287  63.11477291  007.83398428
111  63.11474661  007.83382287
111  63.11488626  007.83471606
111  63.11498071  007.83459067
112  63.11498071  007.83459067  63.11501425  007.83454704
111  63.11506672  007.83435859
111  63.11515116  007.83402704
111  63.11505410  007.83333078
113  63.11478834  007.83275692
110 5 0.00 73.5700 New Taxiway 34
111  63.11536987  007.82636413
111  63.11538475  007.82644996
111  63.11521378  007.82658447
111  63.11519789  007.82649480
111  63.11520985  007.82648571
111  63.11507164  007.82568823
112  63.11507164  007.82568823  63.11506835  007.82567247
111  63.11504954  007.82568474
111  63.11487278  007.82577373
111  63.11477227  007.82574867
111  63.11472445  007.82584877
111  63.11491262  007.82848293
111  63.11487634  007.82923031
111  63.11502133  007.83107168
112  63.11502133  007.83107168  63.11503837  007.83130202
111  63.11497624  007.83155262
111  63.11501755  007.83196631
111  63.11482573  007.83262795
111  63.11509881  007.83321639
111  63.11540474  007.83295924
111  63.11542204  007.83304912
111  63.11574475  007.83283050
111  63.11587780  007.83359867
112  63.11587780  007.83359867  63.11591735  007.83374643
111  63.11605943  007.83365958
111  63.11620151  007.83356086
111  63.11622629  007.83327248
111  63.11626078  007.83244284
111  63.11624169  007.83234634
111  63.11654577  007.83211114
112  63.11654577  007.83211114  63.11674576  007.83182467
111  63.11670435  007.83129433
113  63.11598034  007.82590032
110 5 0.00 84.8200 New Taxiway 29
111  63.10916085  007.81087695
111  63.10898495  007.81088600
112  63.10898495  007.81088600  63.10892700  007.81088600
111  63.10890723  007.81099754
111  63.10888542  007.81187181
112  63.10888542  007.81187181  63.10887633  007.81223609
111  63.10896893  007.81295281
111  63.10940657  007.81593270
112  63.10940657  007.81593270  63.10943308  007.81610228
111  63.10949140  007.81612607
111  63.11016142  007.81571378
112  63.11016142  007.81571378  63.11019429  007.81569459
111  63.11021731  007.81573316
111  63.11018991  007.81558293
112  63.11015977  007.81565441  63.11013146  007.81567460
111  63.11015977  007.81565441
111  63.10985017  007.81584826
112  63.10978704  007.81579941  63.10977992  007.81575094
111  63.10978704  007.81579941
112  63.10978704  007.81579941  63.10982595  007.81573156
111  63.10980835  007.81561970
111  63.10954482  007.81331025
112  63.10954482  007.81331025  63.10952431  007.81332420
111  63.10951247  007.81332420
111  63.10948801  007.81319161
111  63.10948801  007.81313229
111  63.10954394  007.81309053
111  63.10938432  007.81102302
111  63.10935119  007.81105049
112  63.10935119  007.81105049  63.10932733  007.81106054
111  63.10931370  007.81100024
113  63.10928323  007.81078560
110 1 0.00 291.2000 New Taxiway 12
111  63.11470098  007.84213144
111  63.11485419  007.84202423
111  63.11485366  007.84190536
111  63.11477010  007.84138599
112  63.11477010  007.84138599  63.11475906  007.84129874
111  63.11476670  007.84122266
111  63.11500191  007.83987581
112  63.11503827  007.83977027  63.11506392  007.83973537
111  63.11503827  007.83977027
111  63.11515531  007.83969238
112  63.11515531  007.83969238  63.11517175  007.83968220
111  63.11517804  007.83962956
111  63.11512009  007.83926520
111  63.11495419  007.83936823
111  63.11473374  007.84069246
112  63.11458943  007.84064472  63.11450080  007.84033314
111  63.11458943  007.84064472
113  63.11448451  007.84070293
110 1 0.00 71.0700 New Taxiway 4
111  63.10963936  007.80866381
111  63.10969163  007.80808849
111  63.10941869  007.80632937
111  63.10876554  007.80682078
111  63.10901371  007.80833116
113  63.10921825  007.80871102
110 1 0.00 71.1900 New Taxiway 3
111  63.11549423  007.85010853
111  63.11542377  007.85051812
111  63.11567944  007.85204844
111  63.11630668  007.85157100
111  63.11605752  007.85003199
113  63.11587208  007.84978594
110 1 0.00 341.9200 New Taxiway 1
111  63.11338083  007.83339609
111  63.11346960  007.83333913
112  63.11355919  007.83291195  63.11367782  007.83279737
111  63.11355919  007.83291195
111  63.11394823  007.83261271
112  63.11402020  007.83267134  63.11404321  007.83275859
111  63.11402020  007.83267134
111  63.11409974  007.83300009
111  63.11413288  007.83303150
111  63.11424100  007.83344482
111  63.11465862  007.83320436
111  63.11501755  007.83196631
111  63.11497624  007.83155262
111  63.11481830  007.83147140
111  63.11475123  007.83145744
111  63.11463918  007.83152550
111  63.11461337  007.83131428
111  63.11464549  007.83127073
111  63.11417412  007.82812090
111  63.11410689  007.82800154
111  63.11352322  007.82417341
111  63.11354426  007.82415596
111  63.11353177  007.82407017
111  63.11278522  007.82374577
112  63.11278522  007.82374577  63.11269605  007.82371088
111  63.11263726  007.82380030
111  63.11256966  007.82389234
111  63.11207332  007.82472044
111  63.11209430  007.82487887
111  63.11258643  007.82399279
111  63.11264496  007.82400006
111  63.11280414  007.82517752
111  63.11239152  007.82546938
111  63.11222186  007.82517276
111  63.11213664  007.82520591
111  63.11259277  007.82820848
111  63.11270832  007.82806648
111  63.11270037  007.82782429
112  63.11270037  007.82782429  63.11273636  007.82771936
111  63.11302632  007.82753119
111  63.11336049  007.82843313
111  63.11382508  007.83158188
112  63.11382508  007.83158188  63.11385443  007.83182058
111  63.11373565  007.83197769
111  63.11345488  007.83218965
112  63.11345488  007.83218965  63.11334580  007.83226503
111  63.11327499  007.83199966
113  63.11317801  007.83206096
111  63.11255217  007.82626681
111  63.11275655  007.82613071
111  63.11283072  007.82616735
111  63.11289148  007.82659135
112  63.11283230  007.82676584  63.11277706  007.82682516
111  63.11283230  007.82676584
111  63.11265317  007.82689670
112  63.11249693  007.82672745  63.11246458  007.82651284
111  63.11249693  007.82672745
111  63.11247878  007.82661404
114  63.11247878  007.82661404  63.11244722  007.82640466
130 Airport Boundary
111  63.10977907  007.80616941
111  63.10914138  007.80456624
111  63.10852301  007.80526596
111  63.10844488  007.80618270
111  63.10852301  007.80765746
111  63.10868528  007.80921193
111  63.10886207  007.81324218
111  63.10932483  007.81635113
111  63.10952316  007.81673642
111  63.10990908  007.82051659
111  63.11031583  007.82472549
111  63.11014107  007.82488271
111  63.11020794  007.82538310
111  63.11114663  007.82617948
111  63.11283681  007.83630955
111  63.11251805  007.83829563
111  63.11405541  007.84392935
111  63.11527979  007.85208718
111  63.11624480  007.85624152
111  63.11672799  007.85571530
111  63.11675684  007.85324365
111  63.11662701  007.85084329
111  63.11544940  007.84358273
111  63.11670761  007.83908574
111  63.11665790  007.83328965
111  63.11694871  007.83170128
111  63.11590535  007.82440835
111  63.11435776  007.82439059
111  63.11308179  007.82323126
113  63.11225793  007.82123108
120 Linear Feature 53
111  63.11500199  007.83987609 4
111  63.11488516  007.83977426
111  63.11496038  007.83974161 10
115  63.11473154  007.84106780
120 Linear Feature 46
111  63.11465455  007.82916643 25
115  63.11449495  007.82928724
120 Linear Feature 46
111  63.11465507  007.82916970 25
115  63.11449547  007.82929051
120 Linear Feature 46
111  63.11465558  007.82917292 25
115  63.11449598  007.82929373
120 Linear Feature 46
111  63.11465619  007.82917673 25
115  63.11449659  007.82929754
120 Linear Feature 46
111  63.11465678  007.82918043 25
115  63.11449718  007.82930124
120 Linear Feature 46
111  63.11465735  007.82918405 25
115  63.11449776  007.82930486
120 Linear Feature 46
111  63.11465795  007.82918782 25
115  63.11449836  007.82930863
120 Linear Feature 46
111  63.11465854  007.82919151 25
